,x,
1,175371_S14_L001_001.fastq.sam,175371
2,175371b_S34_L001_001.fastq.sam,175371b
3,187857_S15_L001_001.fastq.sam,187857
4,187857b_S35_L001_001.fastq.sam,187857b
5,195776_S16_L001_001.fastq.sam,195776
6,195776b_S36_L001_001.fastq.sam,195776b
7,195777_S17_L001_001.fastq.sam,195777
8,195777b_S37_L001_001.fastq.sam,195777b
9,196887_S18_L001_001.fastq.sam,196887
10,196887b_S38_L001_001.fastq.sam,196887b
11,197665_S19_L001_001.fastq.sam,197665
12,197665b_S39_L001_001.fastq.sam,197665b
13,197682_S20_L001_001.fastq.sam,197682
14,197682b_S40_L001_001.fastq.sam,197682b
15,40513_S1_L001_001.fastq.sam,40513
16,40513b_S21_L001_001.fastq.sam,40513b
17,43475_S2_L001_001.fastq.sam,43475
18,43475b_S22_L001_001.fastq.sam,43475b
19,43839_S3_L001_001.fastq.sam,43839
20,43839b_S23_L001_001.fastq.sam,43839b
21,43980_S4_L001_001.fastq.sam,43980
22,43980b_S24_L001_001.fastq.sam,43980b
23,45331_S5_L001_001.fastq.sam,45331
24,45331b_S25_L001_001.fastq.sam,45331b
25,45401_S6_L001_001.fastq.sam,45401
26,45401b_S26_L001_001.fastq.sam,45401b
27,45405_S7_L001_001.fastq.sam,45405
28,45405b_S27_L001_001.fastq.sam,45405b
29,47854_S8_L001_001.fastq.sam,47854
30,47854b_S28_L001_001.fastq.sam,47854b
31,53100_S9_L001_001.fastq.sam,53100
32,53100b_S29_L001_001.fastq.sam,53100b
33,55903_S10_L001_001.fastq.sam,55903
34,55903b_S30_L001_001.fastq.sam,55903b
35,55931_S11_L001_001.fastq.sam,55931
36,55931b_S31_L001_001.fastq.sam,55931b
37,56392_S12_L001_001.fastq.sam,56392
38,56392b_S32_L001_001.fastq.sam,56392b
39,75696_S13_L001_001.fastq.sam,75696
40,75696b_S33_L001_001.fastq.sam,75696b