Fastq file,Plate,Row,Column,LABID,Miseq.num,Total reads in fastq,Reads that aligned,mean aligned reads per locus,median aligned reads per locus,# loci with >= 10 reads,# loci with >= 20 reads
z0196895_Mnov_MS51_n0028445_R1.fastq.gz,2,A,10,z0196895,28445,489,99,0.269021739,0,0,0
z0197659_Mnov_MS51_n0028446_R1.fastq.gz,2,B,10,z0197659,28446,53611,50107,136.1603261,89.5,329,294
z0197660_Mnov_MS51_n0028447_R1.fastq.gz,2,C,10,z0197660,28447,13840,10569,28.7201087,13,201,160
z0197671_Mnov_MS51_n0028448_R1.fastq.gz,2,D,10,z0197671,28448,68789,64679,175.7581522,103,325,293
z0197673_Mnov_MS51_n0028449_R1.fastq.gz,2,E,10,z0197673,28449,105674,101374,275.4728261,192,343,328
z0197679_Mnov_MS51_n0028450_R1.fastq.gz,2,F,10,z0197679,28450,121803,113218,307.6576087,304,360,358
z0011944_Mnov_MS51_n0028451_R1.fastq.gz,2,G,10,z0011944,28451,133570,123620,335.923913,298.5,361,354
z0016578_Mnov_MS51_n0028452_R1.fastq.gz,2,H,10,z0016578,28452,55356,47425,128.8722826,64.5,307,276
z0018264_Mnov_MS51_n0028453_R1.fastq.gz,2,A,11,z0018264,28453,92835,83427,226.7038043,205.5,361,359
z0029829_Mnov_MS51_n0028454_R1.fastq.gz,2,B,11,z0029829,28454,60570,56323,153.0516304,88.5,332,305
z0029846_Mnov_MS51_n0028455_R1.fastq.gz,2,C,11,z0029846,28455,8638,3526,9.581521739,7,143,27
z0029863_Mnov_MS51_n0028456_R1.fastq.gz,2,D,11,z0029863,28456,13401,6110,16.60326087,12,215,100
z0029864_Mnov_MS51_n0028457_R1.fastq.gz,2,E,11,z0029864,28457,22026,18123,49.24728261,35,311,265
z0029867_Mnov_MS51_n0028458_R1.fastq.gz,2,F,11,z0029867,28458,296,80,0.217391304,0,0,0
z0037611_Mnov_MS51_n0028459_R1.fastq.gz,2,G,11,z0037611,28459,44930,3977,10.80706522,9,177,52
z0196728_Mnov_MS51_n0028460_R1.fastq.gz,2,H,11,z0196728,28460,62254,53024,144.0869565,108,357,342
z0196755_Mnov_MS51_n0028461_R1.fastq.gz,2,A,12,z0196755,28461,24473,14188,38.55434783,30,328,253
z0196762_Mnov_MS51_n0028462_R1.fastq.gz,2,B,12,z0196762,28462,27236,22259,60.48641304,43.5,334,290
z0196833_Mnov_MS51_n0028463_R1.fastq.gz,2,C,12,z0196833,28463,30345,22996,62.48913043,45,339,285
z0196839_Mnov_MS51_n0028464_R1.fastq.gz,2,D,12,z0196839,28464,728,90,0.244565217,0,0,0
z0196854_Mnov_MS51_n0028465_R1.fastq.gz,2,E,12,z0196854,28465,196495,180468,490.4021739,390,359,355
z0196889_Mnov_MS51_n0028466_R1.fastq.gz,2,F,12,z0196889,28466,854,107,0.29076087,0,0,0
z0197671_Mnov_MS51_n0028467_R1.fastq.gz,2,G,12,z0197671,28467,9495,1385,3.763586957,0,1,1
z0029846_Mnov_MS51_n0028468_R1.fastq.gz,2,H,12,z0029846,28468,4381,892,2.423913043,2,2,1
z0037624_Mnov_MS51_n0028469_R1.fastq.gz,3,A,1,z0037624,28469,18737,16629,45.1875,22,245,189
z0045331_Mnov_MS51_n0028470_R1.fastq.gz,3,B,1,z0045331,28470,55308,52925,143.8179348,113.5,343,323
z0045332_Mnov_MS51_n0028471_R1.fastq.gz,3,C,1,z0045332,28471,50718,47846,130.0163043,111,353,332
z0045333_Mnov_MS51_n0028472_R1.fastq.gz,3,D,1,z0045333,28472,17432,16000,43.47826087,29.5,291,229
z0045337_Mnov_MS51_n0028473_R1.fastq.gz,3,E,1,z0045337,28473,81224,77569,210.7853261,170,351,337
z0045342_Mnov_MS51_n0028474_R1.fastq.gz,3,F,1,z0045342,28474,39336,36662,99.625,75.5,336,312
z0045350_Mnov_MS51_n0028475_R1.fastq.gz,3,G,1,z0045350,28475,63563,57800,157.0652174,153.5,358,355
z0045401_Mnov_MS51_n0028476_R1.fastq.gz,3,H,1,z0045401,28476,6792,1188,3.22826087,1,19,1
z0045792_Mnov_MS51_n0028477_R1.fastq.gz,3,A,2,z0045792,28477,4548,3074,8.35326087,3,54,17
z0051185_Mnov_MS51_n0028478_R1.fastq.gz,3,B,2,z0051185,28478,69267,67550,183.5597826,154.5,354,337
z0051324_Mnov_MS51_n0028479_R1.fastq.gz,3,C,2,z0051324,28479,4582,3427,9.3125,6,91,26
z0051326_Mnov_MS51_n0028480_R1.fastq.gz,3,D,2,z0051326,28480,20954,18646,50.66847826,35,292,238
z0051328_Mnov_MS51_n0028481_R1.fastq.gz,3,E,2,z0051328,28481,3930,2158,5.864130435,4,74,11
z0051380_Mnov_MS51_n0028482_R1.fastq.gz,3,F,2,z0051380,28482,5827,4240,11.52173913,6,116,50
z0051891_Mnov_MS51_n0028483_R1.fastq.gz,3,G,2,z0051891,28483,57811,55683,151.3125,141,354,346
z0051893_Mnov_MS51_n0028484_R1.fastq.gz,3,H,2,z0051893,28484,69466,63439,172.388587,162,356,346
z0051929_Mnov_MS51_n0028485_R1.fastq.gz,3,A,3,z0051929,28485,10926,7417,20.1548913,11,204,111
z0051947_Mnov_MS51_n0028486_R1.fastq.gz,3,B,3,z0051947,28486,62803,60503,164.4103261,150.5,359,349
z0053754_Mnov_MS51_n0028487_R1.fastq.gz,3,C,3,z0053754,28487,263939,249874,679.0054348,614,359,356
z0053756_Mnov_MS51_n0028488_R1.fastq.gz,3,D,3,z0053756,28488,3182,1623,4.410326087,2,16,3
z0053757_Mnov_MS51_n0028489_R1.fastq.gz,3,E,3,z0053757,28489,25342,5571,15.13858696,15,244,113
z0053758_Mnov_MS51_n0028490_R1.fastq.gz,3,F,3,z0053758,28490,36079,34212,92.9673913,47.5,304,261
z0053759_Mnov_MS51_n0028491_R1.fastq.gz,3,G,3,z0053759,28491,358818,341821,928.861413,810.5,361,357
z0053760_Mnov_MS51_n0028492_R1.fastq.gz,3,H,3,z0053760,28492,9834,7638,20.75543478,7,152,85
z0053842_Mnov_MS51_n0028493_R1.fastq.gz,3,A,4,z0053842,28493,6240,3967,10.7798913,2,72,36
z0053843_Mnov_MS51_n0028494_R1.fastq.gz,3,B,4,z0053843,28494,67249,65057,176.7853261,137.5,350,336
z0053844_Mnov_MS51_n0028495_R1.fastq.gz,3,C,4,z0053844,28495,30638,22190,60.29891304,57,334,303
z0053845_Mnov_MS51_n0028496_R1.fastq.gz,3,D,4,z0053845,28496,26240,2173,5.904891304,5,68,4
z0053846_Mnov_MS51_n0028497_R1.fastq.gz,3,E,4,z0053846,28497,1651,723,1.964673913,1,1,1
z0053847_Mnov_MS51_n0028498_R1.fastq.gz,3,F,4,z0053847,28498,224370,218011,592.4211957,413,358,352
z0053849_Mnov_MS51_n0028499_R1.fastq.gz,3,G,4,z0053849,28499,90535,76808,208.7173913,181.5,356,341
z0056374_Mnov_MS51_n0028500_R1.fastq.gz,3,H,4,z0056374,28500,11604,7871,21.38858696,15,233,146
z0056375_Mnov_MS51_n0028501_R1.fastq.gz,3,A,5,z0056375,28501,82042,77312,210.0869565,177,357,349
z0056377_Mnov_MS51_n0028502_R1.fastq.gz,3,B,5,z0056377,28502,76869,70255,190.9103261,172.5,359,353
z0056378_Mnov_MS51_n0028503_R1.fastq.gz,3,C,5,z0056378,28503,239478,231017,627.763587,469,356,355
z0056380_Mnov_MS51_n0028504_R1.fastq.gz,3,D,5,z0056380,28504,2340,1200,3.260869565,1,3,1
z0056382_Mnov_MS51_n0028505_R1.fastq.gz,3,E,5,z0056382,28505,87568,81816,222.326087,185.5,353,342
z0056384_Mnov_MS51_n0028506_R1.fastq.gz,3,F,5,z0056384,28506,51672,49171,133.6168478,127,358,345
z0056386_Mnov_MS51_n0028507_R1.fastq.gz,3,G,5,z0056386,28507,64607,62083,168.7038043,123,336,326
z0056389_Mnov_MS51_n0028508_R1.fastq.gz,3,H,5,z0056389,28508,30926,24072,65.41304348,12,197,140
z0056391_Mnov_MS51_n0028509_R1.fastq.gz,3,A,6,z0056391,28509,64951,59076,160.5326087,147,360,351
z0056392_Mnov_MS51_n0028510_R1.fastq.gz,3,B,6,z0056392,28510,35006,11256,30.58695652,27,320,248
z0056393_Mnov_MS51_n0028511_R1.fastq.gz,3,C,6,z0056393,28511,73876,71836,195.2065217,134.5,348,328
z0056394_Mnov_MS51_n0028512_R1.fastq.gz,3,D,6,z0056394,28512,208101,178530,485.1358696,473.5,359,357
z0056395_Mnov_MS51_n0028513_R1.fastq.gz,3,E,6,z0056395,28513,21506,19415,52.75815217,46,326,293
z0056396_Mnov_MS51_n0028514_R1.fastq.gz,3,F,6,z0056396,28514,1075,151,0.410326087,0,1,0
z0056397_Mnov_MS51_n0028515_R1.fastq.gz,3,G,6,z0056397,28515,274070,254454,691.451087,647,363,358
z0056399_Mnov_MS51_n0028516_R1.fastq.gz,3,H,6,z0056399,28516,88931,75442,205.0054348,182.5,354,349
z0061973_Mnov_MS51_n0028517_R1.fastq.gz,3,A,7,z0061973,28517,1010,31,0.08423913,0,0,0
z0061976_Mnov_MS51_n0028518_R1.fastq.gz,3,B,7,z0061976,28518,2147,993,2.698369565,2,3,0
z0061980_Mnov_MS51_n0028519_R1.fastq.gz,3,C,7,z0061980,28519,298299,286383,778.2146739,646,359,358
z0066792_Mnov_MS51_n0028520_R1.fastq.gz,3,D,7,z0066792,28520,744,348,0.945652174,0,1,1
z0066805_Mnov_MS51_n0028521_R1.fastq.gz,3,E,7,z0066805,28521,300,261,0.70923913,0,0,0
z0101084_Mnov_MS51_n0028522_R1.fastq.gz,3,F,7,z0101084,28522,178,133,0.361413043,0,0,0
z0101085_Mnov_MS51_n0028523_R1.fastq.gz,3,G,7,z0101085,28523,200,159,0.432065217,0,0,0
z0107101_Mnov_MS51_n0028524_R1.fastq.gz,3,H,7,z0107101,28524,35379,33989,92.36141304,77.5,350,323
z0108489_Mnov_MS51_n0028525_R1.fastq.gz,3,A,8,z0108489,28525,39908,35748,97.14130435,53,302,261
z0108513_Mnov_MS51_n0028526_R1.fastq.gz,3,B,8,z0108513,28526,4572,1459,3.964673913,2,16,2
z0133302_Mnov_MS51_n0028527_R1.fastq.gz,3,C,8,z0133302,28527,35619,30987,84.20380435,60,333,293
z0173485_Mnov_MS51_n0028528_R1.fastq.gz,3,D,8,z0173485,28528,54456,51730,140.5706522,121,356,344
z0175912_Mnov_MS51_n0028529_R1.fastq.gz,3,E,8,z0175912,28529,2253,1959,5.323369565,5,44,0
z0175916_Mnov_MS51_n0028530_R1.fastq.gz,3,F,8,z0175916,28530,12957,10872,29.54347826,16,227,171
z0175937_Mnov_MS51_n0028531_R1.fastq.gz,3,G,8,z0175937,28531,40916,35177,95.58967391,94,356,339
z0178294_Mnov_MS51_n0028532_R1.fastq.gz,3,H,8,z0178294,28532,3157,658,1.788043478,1,1,1
z0178305_Mnov_MS51_n0028533_R1.fastq.gz,3,A,9,z0178305,28533,81,36,0.097826087,0,0,0
z0178348_Mnov_MS51_n0028534_R1.fastq.gz,3,B,9,z0178348,28534,33010,22035,59.87771739,59,339,312
z0187857_Mnov_MS51_n0028535_R1.fastq.gz,3,C,9,z0187857,28535,323,146,0.39673913,0,1,1
z0187860_Mnov_MS51_n0028536_R1.fastq.gz,3,D,9,z0187860,28536,199626,194556,528.6847826,430,360,352
z0187906_Mnov_MS51_n0028537_R1.fastq.gz,3,E,9,z0187906,28537,42573,39604,107.6195652,89,338,317
z0187911_Mnov_MS51_n0028538_R1.fastq.gz,3,F,9,z0187911,28538,2300,106,0.288043478,0,1,1
z0195726_Mnov_MS51_n0028539_R1.fastq.gz,3,G,9,z0195726,28539,29393,26310,71.49456522,45,313,253
z0196730_Mnov_MS51_n0028540_R1.fastq.gz,3,H,9,z0196730,28540,77891,73960,200.9782609,158,347,331
z0196733_Mnov_MS51_n0028541_R1.fastq.gz,3,A,10,z0196733,28541,17748,15866,43.11413043,23,262,205
z0196736_Mnov_MS51_n0028542_R1.fastq.gz,3,B,10,z0196736,28542,82716,78911,214.4320652,187,357,352
z0196746_Mnov_MS51_n0028543_R1.fastq.gz,3,C,10,z0196746,28543,104606,99722,270.9836957,227,355,348
z0196758_Mnov_MS51_n0028544_R1.fastq.gz,3,D,10,z0196758,28544,70664,65941,179.1875,159,356,349
z0196783_Mnov_MS51_n0028545_R1.fastq.gz,3,E,10,z0196783,28545,249444,238557,648.2527174,577.5,360,357
z0196794_Mnov_MS51_n0028546_R1.fastq.gz,3,F,10,z0196794,28546,67991,66076,179.5543478,158.5,351,339
z0196804_Mnov_MS51_n0028547_R1.fastq.gz,3,G,10,z0196804,28547,53494,50849,138.1766304,93.5,331,297
z0196810_Mnov_MS51_n0028548_R1.fastq.gz,3,H,10,z0196810,28548,2018,294,0.798913043,0,1,1
z0196811_Mnov_MS51_n0028549_R1.fastq.gz,3,A,11,z0196811,28549,7227,4635,12.5951087,3,82,36
z0196838_Mnov_MS51_n0028550_R1.fastq.gz,3,B,11,z0196838,28550,4558,1714,4.657608696,2,11,1
z0197662_Mnov_MS51_n0028551_R1.fastq.gz,3,C,11,z0197662,28551,89420,86831,235.9538043,138,332,310
z0197665_Mnov_MS51_n0028552_R1.fastq.gz,3,D,11,z0197665,28552,90445,86476,234.9891304,212.5,354,348
z0040334_Mnov_MS51_n0028553_R1.fastq.gz,3,E,11,z0040334,28553,77385,73283,199.138587,163,355,341
z0040345_Mnov_MS51_n0028554_R1.fastq.gz,3,F,11,z0040345,28554,63869,60328,163.9347826,135,355,340
z0040363_Mnov_MS51_n0028555_R1.fastq.gz,3,G,11,z0040363,28555,27877,24796,67.38043478,46,325,278
z0045350_Mnov_MS51_n0028556_R1.fastq.gz,3,H,11,z0045350,28556,55356,48218,131.0271739,133,359,353
z0051324_Mnov_MS51_n0028557_R1.fastq.gz,3,A,12,z0051324,28557,14564,7270,19.75543478,7,152,81
z0053757_Mnov_MS51_n0028558_R1.fastq.gz,3,B,12,z0053757,28558,38993,680,1.847826087,1,1,1
z0056378_Mnov_MS51_n0028559_R1.fastq.gz,3,C,12,z0056378,28559,80184,74958,203.6902174,171,353,343
z0066792_Mnov_MS51_n0028560_R1.fastq.gz,3,D,12,z0066792,28560,68845,60226,163.6576087,145,359,347
z0175937_Mnov_MS51_n0028561_R1.fastq.gz,3,E,12,z0175937,28561,31593,26527,72.08423913,67.5,350,328
z0187860_Mnov_MS51_n0028562_R1.fastq.gz,3,F,12,z0187860,28562,64361,60841,165.3288043,155.5,361,352
z0196736_Mnov_MS51_n0028563_R1.fastq.gz,3,G,12,z0196736,28563,71689,68317,185.6440217,150,358,343
z0040345_Mnov_MS51_n0028564_R1.fastq.gz,3,H,12,z0040345,28564,25423,18669,50.73097826,35,316,246
z0029831_Mnov_MS51_n0028565_R1.fastq.gz,8,A,1,z0029831,28565,13257,2719,7.388586957,7,105,7
z0029833_Mnov_MS51_n0028566_R1.fastq.gz,8,B,1,z0029833,28566,528242,423074,1149.657609,1146.5,363,362
z0045329_Mnov_MS51_n0028567_R1.fastq.gz,8,C,1,z0045329,28567,776116,737140,2003.097826,1753,363,360
z0045357_Mnov_MS51_n0028568_R1.fastq.gz,8,D,1,z0045357,28568,344942,332774,904.2771739,848.5,360,357
z0045358_Mnov_MS51_n0028569_R1.fastq.gz,8,E,1,z0045358,28569,115942,100101,272.013587,229,355,351
z0051402_Mnov_MS51_n0028570_R1.fastq.gz,8,F,1,z0051402,28570,438799,403401,1096.19837,1084.5,365,362
z0051404_Mnov_MS51_n0028571_R1.fastq.gz,8,G,1,z0051404,28571,70889,23670,64.32065217,62.5,347,326
z0051405_Mnov_MS51_n0028572_R1.fastq.gz,8,H,1,z0051405,28572,4160,1047,2.845108696,2,4,0
z0051879_Mnov_MS51_n0028573_R1.fastq.gz,8,A,2,z0051879,28573,602,172,0.467391304,0,0,0
z0051898_Mnov_MS51_n0028574_R1.fastq.gz,8,B,2,z0051898,28574,92339,88098,239.3967391,221.5,357,354
z0051899_Mnov_MS51_n0028575_R1.fastq.gz,8,C,2,z0051899,28575,91756,87571,237.9646739,158,348,332
z0051945_Mnov_MS51_n0028576_R1.fastq.gz,8,D,2,z0051945,28576,2101,202,0.548913043,0,1,0
z0051968_Mnov_MS51_n0028577_R1.fastq.gz,8,E,2,z0051968,28577,145516,127333,346.013587,230,354,335
z0053055_Mnov_MS51_n0028578_R1.fastq.gz,8,F,2,z0053055,28578,5702,2712,7.369565217,2,56,20
z0107055_Mnov_MS51_n0028579_R1.fastq.gz,8,G,2,z0107055,28579,418918,404512,1099.217391,851.5,360,359
z0107073_Mnov_MS51_n0028580_R1.fastq.gz,8,H,2,z0107073,28580,664524,617359,1677.605978,1520.5,363,359
z0107078_Mnov_MS51_n0028581_R1.fastq.gz,8,A,3,z0107078,28581,5829,3492,9.489130435,8,166,31
z0107080_Mnov_MS51_n0028582_R1.fastq.gz,8,B,3,z0107080,28582,73899,71394,194.0054348,162,353,341
z0108480_Mnov_MS51_n0028583_R1.fastq.gz,8,C,3,z0108480,28583,103905,89739,243.8559783,220.5,357,348
z0108508_Mnov_MS51_n0028584_R1.fastq.gz,8,D,3,z0108508,28584,496744,470262,1277.88587,901.5,359,358
z0108510_Mnov_MS51_n0028585_R1.fastq.gz,8,E,3,z0108510,28585,272,51,0.138586957,0,0,0
z0175377_Mnov_MS51_n0028586_R1.fastq.gz,8,F,3,z0175377,28586,87645,82861,225.1657609,210.5,357,350
z0175915_Mnov_MS51_n0028587_R1.fastq.gz,8,G,3,z0175915,28587,10255,7258,19.72282609,13,213,137
z0175927_Mnov_MS51_n0028588_R1.fastq.gz,8,H,3,z0175927,28588,53415,49878,135.5380435,33.5,250,217
z0175928_Mnov_MS51_n0028589_R1.fastq.gz,8,A,4,z0175928,28589,167701,159502,433.4293478,433,359,355
z0178296_Mnov_MS51_n0028590_R1.fastq.gz,8,B,4,z0178296,28590,3095,1721,4.676630435,0,1,1
z0187811_Mnov_MS51_n0028591_R1.fastq.gz,8,C,4,z0187811,28591,2703,960,2.608695652,1,16,2
z0187842_Mnov_MS51_n0028592_R1.fastq.gz,8,D,4,z0187842,28592,133423,127162,345.548913,252.5,357,348
z0187846_Mnov_MS51_n0028593_R1.fastq.gz,8,E,4,z0187846,28593,470,97,0.263586957,0,1,0
z0187859_Mnov_MS51_n0028594_R1.fastq.gz,8,F,4,z0187859,28594,13602,11660,31.68478261,18,241,175
z0187868_Mnov_MS51_n0028595_R1.fastq.gz,8,G,4,z0187868,28595,34858,31420,85.38043478,50,319,273
z0195690_Mnov_MS51_n0028596_R1.fastq.gz,8,H,4,z0195690,28596,581,157,0.426630435,0,0,0
z0195700_Mnov_MS51_n0028597_R1.fastq.gz,8,A,5,z0195700,28597,81813,78029,212.0353261,167.5,353,337
z0195715_Mnov_MS51_n0028598_R1.fastq.gz,8,B,5,z0195715,28598,100793,96923,263.3777174,199.5,356,344
z0195758_Mnov_MS51_n0028599_R1.fastq.gz,8,C,5,z0195758,28599,886,299,0.8125,0,1,0
z0196753_Mnov_MS51_n0028600_R1.fastq.gz,8,D,5,z0196753,28600,71230,67906,184.5271739,152.5,350,342
z0196760_Mnov_MS51_n0028601_R1.fastq.gz,8,E,5,z0196760,28601,84471,77880,211.6304348,183.5,357,348
z0196792_Mnov_MS51_n0028602_R1.fastq.gz,8,F,5,z0196792,28602,2615,1041,2.828804348,0,2,1
z0196795_Mnov_MS51_n0028603_R1.fastq.gz,8,G,5,z0196795,28603,77919,64802,176.0923913,88,333,302
z0196822_Mnov_MS51_n0028604_R1.fastq.gz,8,H,5,z0196822,28604,105972,102343,278.1059783,250.5,359,350
z0196823_Mnov_MS51_n0028605_R1.fastq.gz,8,A,6,z0196823,28605,109357,104215,283.1929348,260,358,354
z0197658_Mnov_MS51_n0028606_R1.fastq.gz,8,B,6,z0197658,28606,7560,5795,15.74728261,4,127,72
z0197664_Mnov_MS51_n0028607_R1.fastq.gz,8,C,6,z0197664,28607,2306,1028,2.793478261,0,2,1
z0197682_Mnov_MS51_n0028608_R1.fastq.gz,8,D,6,z0197682,28608,392,273,0.741847826,0,0,0
z0051402_Mnov_MS51_n0028609_R1.fastq.gz,8,E,6,z0051402,28609,160,110,0.298913043,0,0,0
z0108508_Mnov_MS51_n0028610_R1.fastq.gz,8,F,6,z0108508,28610,65254,62916,170.9673913,132.5,343,331
z0187868_Mnov_MS51_n0028611_R1.fastq.gz,8,G,6,z0187868,28611,4826,2948,8.010869565,3,63,13
z0197658_Mnov_MS51_n0028612_R1.fastq.gz,8,H,6,z0197658,28612,92870,88885,241.5353261,199,347,338